City ID,City,Country,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed
2208248,Kaitangata,NZ,67.93,-46.2817,169.8464,82,88,3.49
110690,Faya,SA,57.31,18.3851,42.4509,83,8,3.78
6620339,Karratha,AU,87.06,-20.7377,116.8463,62,6,14.36
1337607,Kudahuvadhoo,MV,80.85,2.6708,72.8944,72,51,8.81
1648636,Bitung,ID,83.25,1.4451,125.1824,79,89,8.23
3430708,Mercedes,AR,73.83,-34.6515,-59.4307,66,0,10.92
2123814,Leningradskiy,RU,-28.3,69.3833,178.4167,97,86,6.26
3839307,Rawson,AR,64.62,-43.3002,-65.1023,84,100,10.02
5861897,Fairbanks,US,-2.7,64.8378,-147.7164,76,100,0.0
1513990,Gazli,UZ,40.89,40.1333,63.45,50,0,11.1
1059507,Marovoay,MG,77.14,-16.1,46.6333,97,100,2.86
2542997,Marrakesh,MA,64.47,31.6315,-8.0083,34,3,10.36
5344157,Dublin,US,74.71,37.7021,-121.9358,31,0,6.91
1497337,Kayerkan,RU,-4.49,69.3497,87.7602,76,100,9.06
4870239,Oskaloosa,US,38.41,41.2964,-92.6444,67,87,14.41
5983720,Iqaluit,CA,-25.31,63.7506,-68.5145,74,75,11.5
4132093,Springdale,US,55.53,36.1867,-94.1288,33,0,9.22
286245,Sur,OM,66.92,22.5667,59.5289,66,5,2.59
3354071,Oranjemund,NA,63.66,-28.55,16.4333,89,1,7.76
3408368,Acaraú,BR,78.85,-2.8856,-40.12,75,44,9.73
1056899,Sambava,MG,75.61,-14.2667,50.1667,91,100,4.94
1071296,Antalaha,MG,74.98,-14.9003,50.2788,92,80,4.12
2856530,Osterhofen,DE,40.28,48.7,13.0167,93,20,2.8
3448903,São João da Barra,BR,69.08,-21.6403,-41.0511,95,100,9.55
8079926,Labuhan,ID,79.75,-6.8844,112.2051,80,100,8.21
4787534,Sterling,US,50.29,39.0062,-77.4286,54,20,6.91
1224061,Wattegama,LK,72.52,6.7989,81.4808,84,93,2.8
3446077,Três Pontas,BR,62.47,-21.3667,-45.5125,92,100,4.27
3840092,Puerto Madryn,AR,67.87,-42.7692,-65.0385,67,100,11.3
6167817,Torbay,CA,34.57,47.6666,-52.7314,91,75,13.8
3381041,Mana,GF,76.77,5.6592,-53.7767,83,15,7.29
5354943,Half Moon Bay,US,74.8,37.4636,-122.4286,30,0,14.97
3466594,Cavalcante,BR,69.01,-13.7975,-47.4583,92,100,1.03
1645528,Denpasar,ID,78.46,-8.65,115.2167,88,75,2.3
1501795,Krivosheino,RU,-15.97,57.3431,83.9261,98,56,4.94
1651810,Airai,TL,70.2,-8.9266,125.4092,76,75,0.51
2127202,Anadyr,RU,-25.1,64.75,177.4833,75,0,6.71
1529484,Kumul,CN,25.5,42.8,93.45,40,100,6.64
2514301,Mahon,ES,46.96,39.8885,4.2658,81,0,5.75
3471451,Arraial do Cabo,BR,70.77,-22.9661,-42.0278,87,98,6.6
582447,Almaznyy,RU,30.34,48.0448,40.045,87,100,9.89
964420,Port Elizabeth,ZA,64.62,-33.918,25.5701,83,12,8.23
3985710,Cabo San Lucas,MX,74.5,22.8909,-109.9124,60,20,8.05
286621,Salalah,OM,68.09,17.0151,54.0924,21,0,8.05
1715015,Dicabisagan,PH,78.78,17.0818,122.4157,74,63,4.7
2025241,Churapcha,RU,-21.87,62.0025,132.4325,96,97,3.11
